AIRLINE_CODE,AIRLINE,total_flights,avg_dep_delay,avg_arr_delay,delay_rate,cancellation_rate,diversion_rate,avg_distance,avg_air_time
9E,Endeavor Air Inc.,112242,9.75345236186098,10.184618948343758,0.12761711302364534,0.02132891431015128,0.0,418.9985121434044,65.32652661214162
AA,American Airlines Inc.,382125,15.30339810271508,15.420600588812562,0.19329800457965327,0.02854301602878639,0.0,989.0121059862611,130.00777755969906
AS,Alaska Airlines Inc.,100228,9.237308935626771,10.12170251825837,0.17829349084088278,0.019296005108352957,0.0,1342.7129345093188,171.9149738596001
B6,JetBlue Airways,112486,21.64299557278239,21.399463044289956,0.2627260281279448,0.02701669541098448,0.0,1159.8966182458262,151.83348149992
DL,Delta Air Lines Inc.,394457,10.74566049024355,10.553931100221316,0.14187604732581752,0.015165151081106432,0.0,928.7896019084463,123.04968602407867
EV,ExpressJet Airlines LLC d/b/a aha!,19013,16.650660074685742,18.12107505391048,0.20280860463893124,0.055856519223689054,0.0,453.48808709830115,69.24993425550939
F9,Frontier Airlines Inc.,64377,19.600649300215917,19.487876104820046,0.2595958183823415,0.02587880764869441,0.0,994.1601503642605,130.53460086676918
G4,Allegiant Air,52562,17.82462615577794,19.338780868307904,0.24905825501312737,0.045336935428636656,0.0,880.123758608881,113.41929530839771
HA,Hawaiian Airlines Inc.,32086,8.13840927507324,8.876831016642772,0.16181512186000124,0.012092501402480832,0.0,845.5574705479025,109.21538988967151
MQ,Envoy Air,120945,10.187118111538302,11.437554260200917,0.1687213196080863,0.030038447228078878,0.0,482.8519657695647,73.11329943362685
NK,Spirit Air Lines,95512,15.665026384119273,15.881931066253456,0.21583675349694278,0.024206382444090794,0.0,1009.7530676773599,132.2552454141888
OH,PSA Airlines Inc.,106784,12.110091399460593,12.588711792028768,0.16815253221456397,0.03091287084207372,0.0,413.4102393617021,65.33667028768355
OO,SkyWest Airlines Inc.,342731,13.128573137533518,13.510703729747236,0.15528796636429154,0.022597897476446544,0.0,495.73472490086976,74.84517887206002
QX,Horizon Air,20611,7.874824123041095,8.518169909271748,0.14249672504973074,0.018145650380864586,0.0,443.00849061180924,72.3420018436757
UA,United Air Lines Inc.,253806,14.202843904399423,14.182174574281143,0.18738327699108767,0.021811935100037035,0.0,1173.6487986887623,150.3485102795048
WN,Southwest Airlines Co.,575334,12.143049081055526,10.581078121578075,0.18645691024691743,0.03383252163091352,0.0,740.000288528055,99.33337157199122
YV,Mesa Airlines Inc.,64850,15.366461063993832,15.723130300693908,0.17944487278334617,0.036592135697764074,0.0,606.0996299151889,85.86245181187356
YX,Republic Airline,142793,10.027711442437655,11.210549536741997,0.15287864251048722,0.0325366089374129,0.0,545.9145056130202,82.17931551266518
