ORIGIN,ORIGIN_CITY,total_departures,avg_dep_delay,avg_arr_delay,delay_rate,cancellation_rate,avg_taxi_out,AIRPORT_NAME,LATITUDE,LONGITUDE,iso_country,AIRPORT_TYPE
ABE,"Allentown/Bethlehem/Easton, PA",2018,14.024777006937562,13.964816650148663,0.15758176412289396,0.02527254707631318,14.155104063429137,Lehigh Valley International Airport,40.651773,-75.442797,US,medium_airport
ABI,"Abilene, TX",901,12.820199778024417,14.148723640399556,0.17758046614872364,0.029966703662597113,12.749167591564929,Abilene Regional Airport,32.4113006592,-99.6819000244,US,medium_airport
ABQ,"Albuquerque, NM",9264,11.711463730569948,11.541774611398964,0.1564119170984456,0.025259067357512953,13.129209844559586,Albuquerque International Sunport,35.039976,-106.608925,US,large_airport
ABR,"Aberdeen, SD",332,18.370481927710845,18.68975903614458,0.10240963855421686,0.012048192771084338,14.548192771084338,Aberdeen Regional Airport,45.449100494384766,-98.42179870605467,US,medium_airport
ABY,"Albany, GA",435,7.335632183908046,7.501149425287356,0.0896551724137931,0.011494252873563218,12.940229885057471,Southwest Georgia Regional Airport,31.532946,-84.196215,US,medium_airport
ACK,"Nantucket, MA",594,27.116161616161616,27.74074074074074,0.23063973063973064,0.045454545454545456,14.83838383838384,Nantucket Memorial Airport,41.25310135,-70.06020355,US,medium_airport
ACT,"Waco, TX",718,13.774373259052926,14.837047353760445,0.15877437325905291,0.04735376044568245,11.696378830083566,Waco Regional Airport,31.611299514770508,-97.23049926757812,US,medium_airport
ACV,"Arcata/Eureka, CA",841,19.42092746730083,20.278240190249704,0.14863258026159334,0.04637336504161712,11.909631391200952,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,US,medium_airport
ACY,"Atlantic City, NJ",1349,10.255003706449221,11.586360266864345,0.16456634544106746,0.0340993328391401,11.202372127501853,Atlantic City International Airport,39.456201,-74.577511,US,medium_airport
ADK,"Adak Island, AK",41,21.21951219512195,20.21951219512195,0.4146341463414634,0.0,9.75609756097561,Adak Airport,51.883564,-176.642783,US,medium_airport
ADQ,"Kodiak, AK",373,6.833780160857909,8.214477211796247,0.1581769436997319,0.05361930294906166,9.040214477211796,Kodiak Airport,57.75,-152.4940033,US,medium_airport
AEX,"Alexandria, LA",1186,11.036256323777403,11.991568296795952,0.15177065767284992,0.02866779089376054,15.419055649241146,Alexandria International Airport,31.325828,-92.546702,US,medium_airport
AGS,"Augusta, GA",1829,12.089666484417714,11.60087479496993,0.1443411700382723,0.02241662110442865,15.344450519409513,Augusta Regional At Bush Field,33.3699,-81.9645,US,medium_airport
AKN,"King Salmon, AK",153,10.718954248366012,11.49673202614379,0.20915032679738563,0.0457516339869281,8.032679738562091,King Salmon Airport,58.677845,-156.651965,US,medium_airport
ALB,"Albany, NY",4863,12.858523545136746,13.327369936253342,0.16718075262183837,0.036602920008225376,13.346493933785728,Albany International Airport,42.748299,-73.801697,US,large_airport
ALO,"Waterloo, IA",268,9.261194029850746,10.645522388059701,0.12686567164179105,0.05970149253731343,12.033582089552239,Waterloo Regional Airport,42.55709838867188,-92.40029907226562,US,medium_airport
ALS,"Alamosa, CO",87,24.724137931034484,24.011494252873565,0.11494252873563218,0.06896551724137931,16.82758620689655,San Luis Valley Regional Airport/Bergman Field,37.434898,-105.866997,US,medium_airport
ALW,"Walla Walla, WA",162,9.975308641975309,9.925925925925926,0.06172839506172839,0.037037037037037035,7.54320987654321,Walla Walla Regional Airport,46.09489822,-118.288002,US,medium_airport
AMA,"Amarillo, TX",2190,14.542465753424658,15.053424657534247,0.1589041095890411,0.045205479452054796,13.092237442922375,Rick Husband Amarillo International Airport,35.217857,-101.706444,US,medium_airport
ANC,"Anchorage, AK",8386,7.733961364178392,8.412592415931314,0.13582160744097305,0.01788695444788934,14.634509897448128,Ted Stevens Anchorage International Airport,61.179004,-149.992561,US,large_airport
