YEAR,MONTH,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
2019,1,214544.0,42522.0,196429.0,596.0,262776.0
2019,2,253303.0,64565.0,212624.0,1971.0,326017.0
2019,3,246550.0,33062.0,146739.0,1144.0,283881.0
2019,4,239434.0,41879.0,173312.0,962.0,306893.0
2019,5,237702.0,57656.0,222635.0,683.0,352532.0
2019,6,324620.0,66350.0,276994.0,2392.0,464401.0
2019,7,302757.0,75971.0,237747.0,620.0,412024.0
2019,8,289593.0,53823.0,249032.0,1139.0,398293.0
2019,9,174056.0,22337.0,153816.0,665.0,208378.0
2019,10,204277.0,28129.0,167929.0,936.0,262347.0
2019,11,188259.0,22517.0,118021.0,1230.0,212568.0
2019,12,262320.0,34894.0,199925.0,1487.0,365599.0
2020,1,210651.0,38444.0,118708.0,681.0,173273.0
2020,2,202393.0,36905.0,146373.0,1713.0,200394.0
2020,3,131635.0,8732.0,79685.0,472.0,108877.0
2020,4,32751.0,3257.0,9652.0,51.0,8665.0
2020,5,26484.0,2039.0,10626.0,293.0,10653.0
2020,6,38726.0,10066.0,14723.0,174.0,18594.0
2020,7,83870.0,17075.0,35359.0,550.0,49137.0
2020,8,77796.0,21419.0,35472.0,674.0,40854.0
2020,9,61609.0,10080.0,21485.0,599.0,28056.0
2020,10,79438.0,16129.0,35213.0,863.0,45993.0
2020,11,76523.0,8867.0,31452.0,442.0,40750.0
2020,12,126038.0,17868.0,61198.0,402.0,63754.0
2021,1,97903.0,24339.0,59087.0,715.0,59484.0
2021,2,123651.0,59719.0,67703.0,514.0,72804.0
2021,3,120819.0,17822.0,52773.0,1282.0,71216.0
2021,4,127457.0,21966.0,63373.0,3256.0,94732.0
2021,5,166035.0,35194.0,82104.0,1393.0,141199.0
2021,6,335939.0,63783.0,151824.0,3111.0,348871.0
2021,7,393235.0,68899.0,160907.0,3208.0,412826.0
2021,8,350146.0,72955.0,143462.0,1936.0,326575.0
2021,9,210104.0,20796.0,83142.0,1141.0,166991.0
2021,10,273359.0,28579.0,93801.0,1898.0,238661.0
2021,11,225922.0,14444.0,66964.0,2146.0,177547.0
2021,12,349698.0,49252.0,112680.0,1826.0,270513.0
2022,1,313784.0,39234.0,100294.0,981.0,224548.0
2022,2,262334.0,39074.0,108289.0,1061.0,215679.0
2022,3,320040.0,34280.0,153524.0,2074.0,309072.0
2022,4,317104.0,37066.0,149173.0,1710.0,316761.0
2022,5,320090.0,40490.0,133872.0,1029.0,297680.0
2022,6,398997.0,43710.0,159333.0,1178.0,360938.0
2022,7,377823.0,50478.0,149424.0,2131.0,392950.0
2022,8,332065.0,60441.0,155843.0,3346.0,343375.0
2022,9,228499.0,23904.0,98530.0,1018.0,207290.0
2022,10,223019.0,24873.0,97359.0,1717.0,219152.0
2022,11,253002.0,34205.0,115937.0,1371.0,244529.0
2022,12,389417.0,77170.0,156359.0,1661.0,425993.0
2023,1,292840.0,55061.0,177377.0,1812.0,299874.0
2023,2,236524.0,39816.0,111531.0,1178.0,226121.0
2023,3,311945.0,46313.0,190495.0,2404.0,366126.0
2023,4,300118.0,41220.0,177246.0,1599.0,372222.0
2023,5,268762.0,31424.0,108643.0,1211.0,288596.0
2023,6,395528.0,63621.0,210812.0,2503.0,484862.0
2023,7,462667.0,81051.0,231368.0,2061.0,577744.0
2023,8,353805.0,51818.0,149783.0,2697.0,398535.0
