DepTimeBlk,total_flights,avg_dep_delay,avg_arr_delay,delay_rate,cancellation_rate
0001-0559,16749,15.193145859454296,16.98895456445161,0.15600931398889487,0.03827094154874918
0600-0659,41619,11.459741944784835,13.689588889689805,0.148201542564694,0.037699127802205724
0700-0759,39550,11.977547408343868,14.059089759797724,0.16811630847029077,0.043792667509481666
0800-0859,38650,12.350219922380337,14.397335058214749,0.19001293661060803,0.03627425614489004
0900-0959,33859,13.74314067160873,14.775096724652235,0.19525089341090995,0.03514575149886293
1000-1059,37157,16.287967273999516,17.24431466480071,0.21990472858411605,0.03633231961676131
1100-1159,36474,17.337281351099413,17.551516148489334,0.22361133958436147,0.03199539397927291
1200-1259,35980,19.077737632017786,19.222234574763757,0.23699277376320177,0.03360200111172874
1300-1359,36094,19.83232670249903,19.7048539923533,0.24566409929628194,0.033883747991355906
1400-1459,35674,20.405225093905926,20.325475135953354,0.25688176262824464,0.0363850423277457
1500-1559,33887,21.367781155015198,21.245757960279754,0.26901171540708824,0.03287396346681618
1600-1659,34533,21.58080676454406,21.53577737236846,0.2726377667738106,0.040309269394492225
1700-1759,36478,22.534760677668732,22.620236855090738,0.2773726629749438,0.04073688250452327
1800-1859,36910,23.65212679490653,23.46437279869954,0.2875643457057708,0.0437279869953942
1900-1959,30131,23.401347449470645,22.500879492881086,0.28392685274302215,0.04470478908765059
2000-2059,24350,23.686447638603696,22.780246406570843,0.2779466119096509,0.04661190965092402
2100-2159,17961,23.93419074661767,22.678525694560438,0.256778575803129,0.03680195980179277
2200-2259,10693,19.81548676704386,18.59983166557561,0.21602917796689422,0.03619190124380436
2300-2359,4039,17.462985887595938,15.552364446645209,0.19732607080960635,0.03862342163901956
